cid,user_id,device,session_count,media,date_time,page
1000271027.1540102400,,desktop,1,organic,2017-06-13 16:55:38,/special/diet/
1000271027.1540102400,,desktop,1,organic,2017-06-13 16:56:25,/prod/prod_id_2/
1000271027.1540102400,,desktop,1,organic,2017-06-13 16:57:11,/prod/prod_id_6/
1000271027.1540102400,,desktop,1,organic,2017-06-13 17:00:25,/prod/prod_id_2/?sys=abc123
1000271027.1540102400,,desktop,1,organic,2017-06-13 17:00:28,/prod/prod_id_6/
1000271027.1540102400,,desktop,1,organic,2017-06-13 17:03:54,/prod/prod_id_2/?sys=abc123
1000271027.1540102400,,desktop,1,organic,2017-06-13 17:03:57,/prod/prod_id_12/
1000271027.1540102400,,desktop,1,organic,2017-06-13 17:05:56,/
1000271027.1540102400,,desktop,2,organic,2017-10-23 14:10:36,/prod/prod_id_11/?sys=abc123
1000271027.1540102400,,desktop,3,(none),2018-01-15 18:34:53,/prod/prod_id_3/
1001161116.1513662400,,mobile,1,organic,2018-12-03 20:20:27,/
1001161116.1513662400,,mobile,2,organic,2019-04-11 19:57:46,/
1001161116.1513662400,,mobile,2,organic,2019-04-11 19:58:20,/prod/prod_id_5/
1001161116.1513662400,,mobile,3,organic,2019-04-11 23:50:16,/prod/prod_id_12/
1001161116.1513662400,,mobile,4,organic,2019-06-12 09:01:34,/
1001161116.1513662400,,mobile,4,organic,2019-06-12 09:02:44,/prod/prod_id_5/
1001161116.1513662400,,mobile,4,organic,2019-06-12 09:03:43,/
1001161116.1513662400,,mobile,5,organic,2019-10-17 13:20:02,/
1001161116.1513662400,,mobile,5,organic,2019-10-17 13:20:25,/special/diet/
1001161116.1513662400,,mobile,5,organic,2019-10-17 13:20:28,/prod/prod_id_5/
1001161116.1513662400,10187,mobile,6,(none),2019-11-24 08:34:10,/special/diet/
1001161116.1513662400,10187,mobile,6,(none),2019-11-24 08:34:23,/
1001161116.1513662400,10187,mobile,6,(none),2019-11-24 08:35:15,/prod/prod_id_2/
1001161116.1513662400,10187,mobile,7,(none),2019-12-17 21:56:13,/
1001161116.1513662400,10187,mobile,7,(none),2019-12-17 21:57:07,/prod/prod_id_2/
1001161116.1513662400,10187,mobile,7,(none),2019-12-17 21:57:15,/
1001161116.1513662400,10187,mobile,7,(none),2019-12-17 21:57:28,/prod/prod_id_1/?sys=abc123
1001392139.1485938700,10206,desktop,1,organic,2018-12-21 15:17:49,/
1001392139.1485938700,10206,desktop,1,organic,2018-12-21 15:22:20,/
1001392139.1485938700,10206,desktop,1,organic,2018-12-21 15:22:23,/special/diet/
1001392139.1485938700,10206,desktop,1,organic,2018-12-21 15:22:26,/special/diet/
1001392139.1485938700,10206,desktop,2,organic,2018-12-27 09:34:25,/
1001392139.1485938700,10206,desktop,3,referral,2019-01-07 15:29:36,/
1001392139.1485938700,10206,desktop,3,referral,2019-01-07 15:30:13,/special/diet/
1002321232.1513660300,10214,desktop,1,organic,2017-12-04 14:09:10,/prod/prod_id_1/
1002321232.1513660300,10214,desktop,2,organic,2017-12-05 09:27:55,/prod/prod_id_11/?sys=abc123
1002321232.1513660300,10214,desktop,2,organic,2017-12-05 09:47:02,/prod/prod_id_12/
1002321232.1513660300,10214,desktop,3,organic,2017-12-06 09:29:58,/prod/prod_id_1/
1002321232.1513660300,10214,desktop,4,organic,2018-01-05 18:11:00,/prod/prod_id_11/
1002391239.1477742100,,mobile,1,(none),2018-11-21 17:49:10,/prod/prod_id_1/
1002391239.1477742100,,mobile,2,referral,2018-12-04 15:19:34,/
1002391239.1477742100,,mobile,2,referral,2018-12-04 15:19:48,/special/stress/
1002391239.1477742100,10385,mobile,3,social,2018-12-14 12:50:43,/prod/prod_id_8/?sys=abc123
1002391239.1477742100,10385,mobile,3,social,2018-12-14 12:57:07,/prod/prod_id_9/?sys=abc123
1002391239.1477742100,10385,mobile,3,social,2018-12-14 12:57:17,/prod/prod_id_3/?sys=abc123
1002391239.1477742100,10385,mobile,3,social,2018-12-14 12:57:27,/special/diet/
1002391239.1477742100,10385,mobile,3,social,2018-12-14 12:57:47,/prod/prod_id_3/?sys=abc123
1002391239.1477742100,10385,mobile,4,referral,2019-06-08 21:45:02,/prod/prod_id_2/
1002391239.1477742100,10385,mobile,4,referral,2019-06-08 21:45:27,/prod/prod_id_5/
1002391239.1477742100,10385,mobile,4,referral,2019-06-08 21:45:41,/prod/prod_id_6/?sys=abc123
1002391239.1477742100,10385,mobile,5,referral,2019-07-08 17:04:01,/prod/prod_id_6/
1002981298.1524029900,10436,mobile,1,organic,2017-07-30 00:01:10,/prod/prod_id_12/
1002981298.1524029900,10436,mobile,1,organic,2017-07-30 00:04:50,/special/stress/
1002981298.1524029900,10436,mobile,2,organic,2017-07-31 04:59:16,/prod/prod_id_12/
1002981298.1524029900,10436,mobile,2,organic,2017-07-31 05:09:16,/special/stress/
1002981298.1524029900,10436,mobile,2,organic,2017-07-31 05:19:16,/prod/prod_id_10/
1002981298.1524029900,10436,mobile,3,(none),2018-04-06 00:01:02,/prod/prod_id_12/
1003061307.1542359300,,desktop,1,social,2017-08-14 14:10:48,/special/diet/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 18:59:16,/prod/prod_id_2/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:09:12,/prod/prod_id_3/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:09:56,/prod/prod_id_2/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:10:49,/prod/prod_id_12/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:15:04,/prod/prod_id_5/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:15:08,/prod/prod_id_9/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:15:32,/prod/prod_id_5/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:15:37,/prod/prod_id_10/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:16:14,/prod/prod_id_5/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:16:19,/prod/prod_id_12/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:16:21,/prod/prod_id_14/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:18:31,/prod/prod_id_12/?sys=abc123
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:18:37,/prod/prod_id_3/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:18:40,/special/diet/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:19:14,/prod/prod_id_2/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:19:21,/special/stress/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:19:52,/prod/prod_id_12/?sys=abc123
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:21:00,/prod/prod_id_12/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:21:20,/cart/
1003071307.1542359300,10448,desktop,1,organic,2017-07-10 19:22:22,/thank_you/
1003071307.1542359300,10448,desktop,2,organic,2017-07-11 20:24:37,/prod/prod_id_12/
1003071307.1542359300,10448,desktop,3,organic,2017-07-14 20:08:45,/special/stress/
1003071307.1542359300,10448,desktop,3,organic,2017-07-14 20:09:08,/prod/prod_id_2/
1003071307.1542359300,10448,desktop,3,organic,2017-07-14 20:09:38,/prod/prod_id_11/?sys=abc123
1003071307.1542359300,10448,desktop,3,organic,2017-07-14 20:10:14,/prod/prod_id_2/
1003071307.1542359300,10448,desktop,3,organic,2017-07-14 20:11:47,/prod/prod_id_1/
1003071307.1542359300,10448,desktop,4,organic,2017-07-20 21:33:15,/prod/prod_id_2/
1003071307.1542359300,10448,desktop,5,organic,2017-07-23 18:29:11,/prod/prod_id_3/?sys=abc123
